,nom,reduction,liens,Diamètre - mm,Hauteur - mm,nb_serie,nb_parallele,tension_nominale_total,capaciter_ah,capaciter_total,nb_cellule,prix_total,cm²_total_sans_separateur,cm²_total_avec_separateur,puissance_max_A,puissance_max_W,poid_total_kg
1,Samsung INR21700-30T 3000mAh - 35A CLEAR WRAP - remis à neuf,True,https://www.nkon.nl/fr/rechargeable/li-ion/21700-20700-size/samsung-inr21700-30t-3000mah-35a-clear-wrap-reclaimed.html,21.0,"70,10",13,6,46.800000000000004,3.0,795.6,78,159.89999999999998,270.16126024545423,588.7187553194593,210.0,9828.0,5.304
2,Sanyo NCR20700A 3300mAh - 30A NO WRAP,True,https://www.nkon.nl/fr/rechargeable/li-ion/21700-20700-size/sanyo-ncr20700a-3300mah-30a.html,20.0,"70,00",13,6,46.800000000000004,3.3,795.6,78,354.9,245.04422698000386,551.3495107050087,180.0,8424.0,5.304
3,Samsung INR21700-48X 4650mAh - 9.6A NO WRAP,True,https://www.nkon.nl/fr/rechargeable/li-ion/21700-20700-size/samsung-inr21700-48x-4650mah-9-6a.html,21.0,"71,00",13,4,46.800000000000004,4.65,795.6,52,184.6,180.10750683030284,392.47917021297286,38.4,1797.1200000000001,3.536
4,Nitecore 21700 NL2150HPi 5000mAh - 15A,True,https://www.nkon.nl/fr/rechargeable/li-ion/21700-20700-size/nitecore-21700-nl2150hpi-5000mah-15a.html,21.9,"77,20",13,4,46.800000000000004,5.0,795.6,52,1141.3999999999999,195.8761028364661,415.59909302853623,60.0,2808.0000000000005,3.796
6,Samsung INR21700-33J 3270mAh - 6.4A - Single Tag,True,https://www.nkon.nl/fr/rechargeable/li-ion/21700-20700-size/samsung-inr21700-33j-3270mah-3-2a-tag.html,21.1,"70,15",13,6,46.800000000000004,3.27,795.6,78,132.6,272.7403507344188,592.5230669433239,38.400000000000006,1797.1200000000003,4.914
7,Samsung INR21700-33J 3270mAh - 6.4A - U-Tag,True,https://www.nkon.nl/fr/rechargeable/li-ion/21700-20700-size/samsung-inr21700-33j-3270mah-3-2a-u-tag.html,21.1,"70,15",13,6,46.800000000000004,3.27,795.6,78,144.3,272.7403507344188,592.5230669433239,38.400000000000006,1797.1200000000003,4.914
8,Samsung INR21700-33J 3270mAh - 6.4A - Z-Tag,True,https://www.nkon.nl/fr/rechargeable/li-ion/21700-20700-size/samsung-inr21700-33j-3270mah-3-2a-z-tag.html,21.1,"70,15",13,6,46.800000000000004,3.27,795.6,78,144.3,272.7403507344188,592.5230669433239,38.400000000000006,1797.1200000000003,4.914
10,Samsung INR21700-48X 4650mAh - 9.6A CLEAR WRAP,True,https://www.nkon.nl/fr/rechargeable/li-ion/21700-20700-size/samsung-inr21700-48x-4650mah-9-6a-clear.html,21.0,"71,00",13,4,46.800000000000004,4.65,795.6,52,195.0,180.10750683030284,392.47917021297286,38.4,1797.1200000000001,3.588
11,Olight 21700 5000mAh batterie pour Seeker 2 Pro,False,https://www.nkon.nl/fr/rechargeable/li-ion/21700-20700-size/olight-21700-5000mah-accu-voor-seeker-2-pro.html,22.0,"74,00",13,4,46.800000000000004,5.0,795.6,52,1557.3999999999999,197.6690097638698,418.2088140458733,60.0,2808.0000000000005,4.264
13,XTAR 21700 4900mAh (protégé) - 10A,False,https://www.nkon.nl/fr/rechargeable/li-ion/21700-20700-size/xtar-21700-4900-mah-protected-10a.html,21.0,"74,60",13,4,46.800000000000004,4.9,795.6,52,621.4,180.10750683030284,392.47917021297286,40.0,1872.0000000000002,3.744
14,XTAR 21700 5000mAh (protégé) - 10A,False,https://www.nkon.nl/fr/rechargeable/li-ion/21700-20700-size/xtar-21700-5000-mah-protected-10a.html,21.5,"74,70",13,4,46.800000000000004,5.0,795.6,52,777.4,188.78615653584464,405.2418903681814,40.0,1872.0000000000002,3.796
15,Sanyo NCR2070C 20700 3500mAh - 30A CLEAR WRAP,True,https://www.nkon.nl/fr/rechargeable/li-ion/21700-20700-size/sanyo-ncr2070c-clear.html,20.35,"70,30",13,5,46.800000000000004,3.5,795.6,65,217.75,211.41318309901388,470.241147846643,150.0,7020.000000000001,3.9
16,Nitecore 21700 NL2142LTHPR USB 4200mAh - 15A,False,https://www.nkon.nl/fr/rechargeable/li-ion/21700-20700-size/nitecore-21700-nl2142lthpr-4200-15a.html,22.3,"76,80",13,5,46.800000000000004,4.2,795.6,65,1556.75,253.8709242393461,532.6087324291003,75.0,3510.0000000000005,5.395
22,Sony / Murata US21700VTC6A 4000mAh - 40A,True,https://www.nkon.nl/fr/rechargeable/li-ion/21700-20700-size/sony-murata-us21700vtc6a-4000mah-40a.html,21.3,"69,80",13,5,46.800000000000004,4.0,795.6,65,438.75,231.61274028866245,500.14037235425,200.0,9360.0,4.745
23,Samsung INR21700-30T 3000mAh - 35A - remis à neuf,True,https://www.nkon.nl/fr/rechargeable/li-ion/21700-20700-size/samsung-inr21700-30t-3000mah-35a-reclaimed.html,21.0,"70,10",13,6,46.800000000000004,3.0,795.6,78,167.7,270.16126024545423,588.7187553194593,210.0,9828.0,5.382
24,Samsung INR21700-48G 4800mAh - 9.6A,True,https://www.nkon.nl/fr/rechargeable/li-ion/21700-20700-size/samsung-inr21700-48g-4800mah-35a.html,21.0,"70,00",13,4,46.800000000000004,4.8,795.6,52,176.28,180.10750683030284,392.47917021297286,38.4,1797.1200000000001,3.588
26,Nitecore 21700 NL2150 5000mAh - 5A,True,https://www.nkon.nl/fr/rechargeable/li-ion/21700-20700-size/nitecore-21700-nl2150-5000mah-5a.html,21.6,"75,20",13,4,46.800000000000004,5.0,795.6,52,855.4,190.54639089965104,407.81893882192117,20.0,936.0000000000001,3.796
27,Keeppower 21700 5000mAh (protégé) - 10A,True,https://www.nkon.nl/fr/rechargeable/li-ion/21700-20700-size/keeppower-21700-5000mah-10a-protected-li-ion-battery.html,21.6,"75,00",13,4,46.800000000000004,5.0,795.6,52,673.4,190.54639089965104,407.81893882192117,40.0,1872.0000000000002,3.64
29,Molicel INR21700-P42A 4000mAh - 45A,True,https://www.nkon.nl/fr/rechargeable/li-ion/21700-20700-size/molicel-21700a-4200mah-30a.html,21.4,"70,00",13,5,46.800000000000004,4.0,795.6,65,299.0,233.79261289117196,503.3412625691762,225.0,10530.000000000002,4.355
33,Samsung INR21700-40T 4000mAh - 35A CLEAR WRAP,True,https://www.nkon.nl/fr/rechargeable/li-ion/21700-20700-size/samsung-inr21700-40t-4000mah-35a-clear-wrap.html,21.0,"70,10",13,5,46.800000000000004,4.0,795.6,65,253.5,225.13438353787853,490.5989627662161,175.0,8190.000000000001,4.355
34,Samsung INR21700-40T 4000mAh - 35A CLEAR WRAP - remis à neuf,True,https://www.nkon.nl/fr/rechargeable/li-ion/21700-20700-size/samsung-inr21700-40t-4000mah-35a-clear-wrap-reclaimed.html,21.0,"70,10",13,5,46.800000000000004,4.0,795.6,65,198.25,225.13438353787853,490.5989627662161,175.0,8190.000000000001,4.355
35,Samsung INR21700-50G 4850mAh - 9.7A NO WRAP,True,https://www.nkon.nl/fr/rechargeable/li-ion/21700-20700-size/samsung-inr21700-50g.html,21.25,"70,80",13,4,46.800000000000004,4.9,795.6,52,176.79999999999998,184.4213062427633,398.8350048502667,38.8,1815.8400000000001,3.9
38,Samsung INR21700-40T (40T3) 4000mAh - 35A,True,https://www.nkon.nl/fr/rechargeable/li-ion/21700-20700-size/samsung-inr21700-40t3-4000mah-50a.html,21.0,"70,10",13,5,46.800000000000004,4.0,795.6,65,279.5,225.13438353787853,490.5989627662161,175.0,8190.000000000001,4.355
39,BAK N21700CG 5000mAh - 10.2A,True,https://www.nkon.nl/fr/rechargeable/li-ion/21700-20700-size/bak-n21700cg-5000mah-10-2a.html,21.35,"70,35",13,4,46.800000000000004,5.0,795.6,52,221.0,186.16112025432136,401.39163295175814,40.8,1909.44,3.588
40,Samsung INR21700-30T 3000mAh - 35A CLEAR WRAP,True,https://www.nkon.nl/fr/rechargeable/li-ion/21700-20700-size/samsung-inr21700-30t-3000mah-35a-clear-wrap.html,21.12,"70,30",13,6,46.800000000000004,3.0,795.6,78,214.5,273.25763909757364,593.2853995334586,210.0,9828.0,5.382
42,Samsung INR21700-33J 3270mAh - 6.4A,True,https://www.nkon.nl/fr/rechargeable/li-ion/21700-20700-size/samsung-inr21700-33j-3270mah-3-2a.html,21.1,"70,15",13,6,46.800000000000004,3.27,795.6,78,113.1,272.7403507344188,592.5230669433239,38.400000000000006,1797.1200000000003,4.914
44,Samsung INR21700-50G 4850mAh - 9.7A Clear wrap,True,https://www.nkon.nl/fr/rechargeable/li-ion/21700-20700-size/samsung-inr21700-50g-clear.html,21.25,"70,80",13,4,46.800000000000004,4.9,795.6,52,187.20000000000002,184.4213062427633,398.8350048502667,39.2,1834.5600000000004,3.9
45,Vapcell INR21700 3100mAh - 35A,True,https://www.nkon.nl/fr/rechargeable/li-ion/21700-20700-size/vapcell-inr21700-3100mah-35a.html,20.0,"70,00",13,6,46.800000000000004,3.0,795.6,78,503.1,245.04422698000386,551.3495107050087,210.0,9828.0,5.304
